ant_number,iterations,pheromone_evaporation,alpha,beta,result
162,119,0.1,1.7073217517948278,2.543352865923356,123488.8296668248
155,110,0.1439637045819699,2.0327308717780315,2.8642823089399494,123932.69242071784
154,107,0.3061380733690981,1.8951481499713123,2.9189438422662546,124781.43601228338
150,113,0.2675073533661105,2.3562303290211286,2.7729058778931823,125054.1004308486
157,100,0.4108852581571443,2.3053815665184274,2.917690491636653,125538.9359973593

