ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,107,0.33002630930052795,1.4290395969029226,3.832863753630797,8144.579847955862
52,100,0.3277498078438317,1.4148493317492015,3.762589703587195,7964.341787904803
52,80,0.3431728770494328,1.3296333377914895,3.776846753088467,7963.851665796463
52,86,0.3378487722004918,1.5688023468660302,3.600491860715824,8303.236557369766
52,100,0.28582185799966914,1.5660195530662433,3.705789201627333,8163.779261935443
52,102,0.33249917343292057,1.4888185249943546,3.6425844586841762,8700.816669585249
52,101,0.288285662177764,1.5910117161911852,3.509394884849457,8298.618437667266
52,109,0.34222926835856354,1.4907021453075893,3.362175081172892,8032.706556443681
52,80,0.3405408564923017,1.5981772890166073,3.4648969613527916,8086.8687155412035
52,94,0.34283364725707555,1.6581087433493407,3.578602483979056,8453.251580017182
ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,98,0.33800967627680645,1.340095696897523,3.541739142643938,8307.95661505772
52,101,0.3385498923541899,1.446866902069591,3.41240095641331,8181.595674592818
52,98,0.33662070568530916,1.5482971241679488,3.6299993101933152,8015.9645770555835
52,99,0.33492303433875353,1.3682081779890791,3.5930038339519554,8853.702870033163
52,108,0.3315574471557387,1.4439957559630228,3.4060870055716808,8116.840421047288
52,106,0.3347766579656965,1.5262728273364679,3.758864738894351,8568.187870972915
52,100,0.33127411290862047,1.5907241701506107,3.772571195658678,8543.97968297323
52,105,0.33956401002049974,1.419466854152309,3.371969806705113,8335.617494334725
52,93,0.33231300736790725,1.4403517458236992,3.5188363856724156,8140.672909480752
52,106,0.3292232734792509,1.5044219818509297,3.561255040021841,8014.542967617517
52,101,0.3314005146322847,1.592466198220526,3.4717317038347177,8298.14444836211
